org,dest,days,departure_date,people_number,housing,cuisine,transportation,budget,query,level,details
Washington,"['Norfolk on day 1', 'Lynchburg on day 3']",5.0,,1.0,,,,2200.0,"Create a travel plan for a solo traveler starting from Washington. The itinerary includes visiting Norfolk on day 1 and Lynchburg on day 3, with a total trip duration of 5 days and a budget of $2200.",easy,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-15', 'priority': 0, 'question': 'When are you planning to depart from Washington for this trip?', 'answer': ""I can't wait to embark on this adventure on March 15, 2022! The anticipation is building up, and I'm already imagining all the amazing experiences awaiting me on this trip.""}]"
,"['Escanaba on day 1', 'Pellston on day 3', 'Detroit on day 5']",,2022-03-06,5.0,['children under 10'],,,14600.0,"Craft a travel plan for 5 individuals, including children under 10, departing on March 6th, 2022. The itinerary involves visiting Escanaba on day 1, Pellston on day 3, and Detroit on day 5. Our budget for this trip is $14,600.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you provide the number of days you intend to spend on this trip for 5 individuals, including children under 10?', 'answer': ""Absolutely, we're planning to spend a delightful week exploring all the amazing sights and experiences on our trip!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Marquette', 'priority': 0, 'question': 'I can help with that! Just need to know the departure city for your trip. Could you please provide that information?', 'answer': 'Marquette is such a charming departure city! The thought of starting my journey from there already fills me with excitement and wanderlust. The anticipation of exploring new destinations from Marquette is truly exhilarating.'}]"
Chattanooga,,7.0,2022-03-09,2.0,"['not shared room', 'visitors']",,no flight,1236.0,"Would you be able to organize a 7-day trip for 2 individuals starting from Chattanooga on March 9th, 2022? We are looking for accommodations that offer a not shared room and are open to visitors. Our transportation preference excludes flights, and we have a budget of $1236.",hard,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Augusta on day 1', 'Decatur on day 3', 'Atlanta on day 5'], 'priority': 0, 'question': 'When and where do you plan to arrive at each destination during your 7-day trip starting from Chattanooga on March 9th, 2022?', 'answer': ""Absolutely! I'm so excited about my upcoming trip. I'll be starting off in Augusta on day 1, then heading to Decatur on day 3, and finally arriving in Atlanta on day 5. It's going to be such an adventure!""}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 6900, 'priority': 1, 'question': ""It looks like the budget you've specified might not be enough for the trip. Would you consider adjusting your budget slightly to meet the minimum requirements for the itinerary?"", 'answer': 'I can adjust the budget to $6,900.'}]"
New York,,3.0,2022-03-19,2.0,"['not shared room', 'smoking']","['French', 'Mediterranean', 'Mexican', 'Chinese']",,1600.0,"I am planning a 3-day trip for 2 individuals starting from New York on March 19th, 2022. We are looking for accommodations that offer non-shared rooms and allow smoking. Our budget for this trip is $1600. We are interested in exploring French, Mediterranean, Mexican, and Chinese cuisines during our stay.",hard,"[{'operation': 'ADD', 'attribute': 'dest', 'value': ['Charleston on day 1'], 'priority': 0, 'question': 'When and where do you plan to arrive on each day of your 3-day trip starting from New York on March 19th, 2022?', 'answer': ""Absolutely! I'm so excited about my upcoming trip. Charleston on day 1 is going to be fantastic. The thought of exploring a new city always fills me with so much anticipation and joy. I can't wait to immerse myself in the culture and beauty of Charleston. It's going to be an unforgettable experience for sure!""}]"
Peoria,"['Moline on day 1', 'Chicago on day 3', 'Rockford on day 5']",,2022-03-13,3.0,['children under 10'],,,8400.0,"We are planning a trip for 3 individuals starting from Peoria. The itinerary includes visiting Moline on day 1, Chicago on day 3, and Rockford on day 5. Our departure date is set for March 13th, 2022, and we have a budget of $8400. Additionally, our accommodation should be suitable for children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'days', 'value': 7, 'priority': 0, 'question': 'Just to confirm, could you let me know the total number of days you intend to spend on this trip?', 'answer': 'I plan to spend 7 days on this trip.'}]"
,"['Cleveland on day 1', 'Columbus on day 3']",5.0,,2.0,['visitors'],"['French', 'Chinese', 'American', 'Mexican']",no self-driving,4400.0,"I am planning a 5-day trip for 2 individuals. We will be visiting Cleveland on the 1st day and Columbus on the 3rd day. Our budget for this trip is $4400. We prefer accommodations that allow visitors. We will not be self-driving during our journey. Our culinary preferences include French, Chinese, American, and Mexican cuisines.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-23', 'priority': 0, 'question': 'When are you planning to depart for this 5-day trip to Cleveland and Columbus?', 'answer': ""I'm so excited about this trip! I've been looking forward to exploring Cleveland and Columbus for a while now. March 23, 2022, is the day I'll be setting off on this adventure. The thought of immersing myself in the culture and sights of these cities is just thrilling!""}, {'operation': 'ADD', 'attribute': 'org', 'value': 'Newark', 'priority': 0, 'question': 'Where will you be departing from for this trip?', 'answer': 'I will be departing from Newark.'}]"
Pittsburgh,,5.0,,7.0,['children under 10'],,,16100.0,"Please organize a 5-day trip for a group of seven starting from Pittsburgh. Our budget is $16,100, and we require accommodations that cater to children under 10.",medium,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-05', 'priority': 0, 'question': 'When are you planning to depart from Pittsburgh for this 5-day trip for your group of seven?', 'answer': ""Absolutely! I'm really looking forward to departing on March 5, 2022. It's going to be such an exciting start to our 5-day trip with the group of seven.""}, {'operation': 'ADD', 'attribute': 'dest', 'value': ['Houston on day 1', 'Dallas on day 3'], 'priority': 0, 'question': 'Which cities are you interested in visiting during your 5-day trip, and could you provide the specific days you plan to arrive in each city?', 'answer': 'I plan to visit Houston on day 1 and Dallas on day 3.'}]"
,"['Fort Myers on day 1', 'Tampa on day 3']",5.0,,6.0,"['entire room', 'pets']",,no self-driving,2570.0,"Could you create a 5-day travel plan for 6 individuals, starting with a visit to Fort Myers on day 1 and Tampa on day 3? Our budget is set at $2570, and we require accommodations that offer an entire room and are pet-friendly. Additionally, we prefer not to drive ourselves during the trip.",hard,"[{'operation': 'ADD', 'attribute': 'org', 'value': 'Cleveland', 'priority': 0, 'question': 'I can help with that! Just to clarify, could you please let me know the departure city for your trip?', 'answer': 'My departure city is Cleveland.'}, {'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-02', 'priority': 0, 'question': 'When are you planning to depart for this 5-day trip for 6 individuals?', 'answer': 'We are planning to depart on March 2, 2022.'}, {'operation': 'REPLACE', 'attribute': 'budget', 'value': 13900, 'priority': 2, 'question': ""It looks like the budget you've mentioned might not be enough for the trip. Would you be open to considering a slightly higher budget to accommodate your travel preferences?"", 'answer': ""Absolutely, I believe that increasing the budget to $13,900 would allow for a more fulfilling and enjoyable travel experience. I'm excited about the possibility of exploring new destinations and making the most out of this trip with a slightly higher budget.""}]"
Myrtle Beach,"['Detroit on day 1', 'Lansing on day 3', 'Kalamazoo on day 5']",7.0,2022-03-04,2.0,,"['French', 'American']",,8300.0,"Craft a 7-day travel plan for 2 individuals starting from Myrtle Beach. We plan to visit Detroit on the 1st day, Lansing on the 3rd day, and Kalamazoo on the 5th day. Our departure date is set for March 4th, 2022, and our budget is $8300. We are interested in savoring French and American cuisine during our trip.",medium,[]
Richmond,"['Miami on day 1', 'Punta Gorda on day 3']",5.0,,7.0,"['entire room', 'visitors']","['French', 'American', 'Mediterranean', 'Italian']",,8500.0,"Could you plan a 5-day trip for a group of seven starting in Richmond? We aim to visit Miami on the 1st day and Punta Gorda on the 3rd day. Our budget for this trip is $8500. For accommodations, we prefer an entire room that allows visitors. Additionally, we enjoy French, American, Mediterranean, and Italian cuisines.",hard,"[{'operation': 'ADD', 'attribute': 'departure_date', 'value': '2022-03-09', 'priority': 0, 'question': 'When are you planning to depart for this trip from Richmond?', 'answer': ""I can't wait to embark on this adventure on March 9, 2022! It's going to be an exciting journey filled with new experiences and memories to cherish.""}]"
Devils Lake,"['Alamosa on day 1', 'Grand Junction on day 3', 'Gunnison on day 5']",7.0,2022-03-22,1.0,,,,3500.0,"Can you suggest a 7-day travel itinerary for a solo traveler starting from Devils Lake? The journey should include visits to Alamosa on day 1, Grand Junction on day 3, and Gunnison on day 5. The departure date is set for March 22, 2022, and the budget is $3500.",easy,[]
Omaha,"['Colorado Springs on day 1', 'Denver on day 3']",5.0,2022-03-14,7.0,"['shared room', 'parties']",,,23400.0,"Can you organize a 5-day trip for a group of seven starting from Omaha and visiting Colorado Springs on day 1 and Denver on day 3? We plan to depart on March 14th, 2022, with a budget of $23,400. Our accommodation preference is a shared room that allows parties.",medium,"[{'operation': 'REPLACE', 'attribute': 'housing', 'value': ['pets'], 'priority': 0, 'question': ""It looks like the accommodation preference you've mentioned might not be feasible for this trip. Are you open to exploring other accommodation options for your group of seven?"", 'answer': ""Absolutely, I'm open to exploring other accommodation options for our group of seven. One thing that's really important to us is finding a place that allows pets. It would be amazing to have our furry friends with us on this trip!""}]"
